ingredient,query,title,url,domain,year_detected,date_from_html,year_from_html,score,final_score,snippet,final_reasons,html_fetched
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS - Scientific Advice on Silver used in cosmetic products (CAS/EC No. 7440-22-4/231-131-3) - Public Health,https://health.ec.europa.eu/publications/sccs-scientific-advice-silver-used-cosmetic-products-casec-no-7440-22-4231-131-3_en,health.ec.europa.eu,2025,2025-12-18T13:00:00+0100,2025,18,32,"December 18, 2025 -In the light of the new data provided, ... Silver [100nm<particle diameter<1 mm]safe when used up to a maximum concentration of 0.2% in rinse-off and 0.3% in leave-on cosmetic products, as specified in the Tables 5 and 6. This Opinion ...","source fiable (+3) : health.ec.europa.eu | keywords (+10) : cosmetic, opinion, safe, sccs, scientific advice | weak signals (+2) : 1 | très récent (+3) : 2025 | html keywords (+10) : concern, cosmetic, opinion, regulation, safe, safety, sccs, scientific advice | html weak signals (+2) : 1 | html date très récente (+2) : 2025",True
silver,"""silver"" ban restriction cosmetic Europe",EU to Ban 15 CMR Substances in Cosmetics Starting May 2026 | ChemLinked,https://cosmetic.chemlinked.com/news/cosmetic-news/eu-to-ban-15-cmr-substances-in-cosmetics-starting-may-2026,cosmetic.chemlinked.com,2026,,,22,22,"January 14, 2026 -The amendments introduce 15 newly prohibited ingredients,impose new restrictions on Hexyl Salicylate and Silver, and modify the conditions for using Silver as a colorant and o-Phenylphenol as a preservative.","source non prioritaire mais acceptée (+1) : cosmetic.chemlinked.com | keywords (+16) : ban, cmr, cosmetic, prohibit, prohibited, restriction | weak signals (+2) : 1 | très récent (+3) : 2026 | html non récupéré (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Intention of CLH classification for Silver Chloride - ECHA,https://cosmeticobs.com/en/articles/echa-63/intention-of-clh-classification-for-silver-chloride-8816,cosmeticobs.com,2025,,,20,20,"If the process is completed, Silver Chloride could be listed as a mutagenic and reprotoxic substance (and therefore CMR), andits use in cosmetic products in Europe could be prohibited, … ... At their meetings in September 2025, the RAC (Risk ...","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+16) : cmr, cosmetic, echa, prohibit, prohibited, risk, toxic | très récent (+3) : 2025 | html non récupéré (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Silver Zinc Zeolite: request for Opinion to the SCCS - Headlines,https://cosmeticobs.com/en/articles/headlines-13/silver-zinc-zeolite-request-for-opinion-to-the-sccs-6648,cosmeticobs.com,2022,,,20,20,"June 26, 2022 -The European Commission has asked the SCCS to assess the safety of Silver Zinc Zeolite, a preservative currently listed in Annex II (prohibited substances) of the Cosmetics Regulation.","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+18) : cosmetic, opinion, prohibit, prohibited, regulation, safe, safety, sccs | encore exploitable (+1) : 2022 | html non récupéré (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",VeilleNanos - Risks associated with silver nanoparticles,https://veillenanos.fr/en/dossier/specific-risks-according-to-chemical-composition/risks-associated-with-nanosilver/,veillenanos.fr,2025,,,20,20,"May 6, 2025 -In 2015, ANSES called for a classification of silver nanoparticles under the European CLP regulation4ANSES recommends limiting the marketing of products containing silver nanoparticles, veillenanos.fr, March 2015 and Assessment of health and environmental risks related to exposure to silver nanoparticles, ANSES, last updated March 2018. On October 19, 2020, after a long process5 A risk assessment of silver (including its nanoforms) was to be conducted by the Netherlands in 2014 under the ECHA Action Plan (CORAP) due to concerns about the ecotoxicity and environmental fate of silver, particularly in nano form.","source non prioritaire mais acceptée (+1) : veillenanos.fr | keywords (+16) : clp, concern, echa, exposure, regulation, risk, toxic, toxicity | très récent (+3) : 2025 | html non récupéré (+0)",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS/1665/24 Final version Scientific Committee on Consumer Safety SCCS,https://health.ec.europa.eu/document/download/4df13eb8-43cd-4cf5-9b50-3e9885cb5a06_en?filename=sccs_o_288.pdf,health.ec.europa.eu,,,,19,19,"SCCS andfound safe for use in cosmetic products. In view of these provisions, regulatory · measures must be adopted by the Commission services within 15 months of the classification · as CMR 1A or 1B of the substance(s) concerned in Part 3 of Annex VI to Regulation (EC) No ...","source fiable (+3) : health.ec.europa.eu | keywords (+16) : cmr, concern, cosmetic, regulation, regulatory, safe, safety, sccs | date non trouvée dans snippet/titre (+0) | html non récupéré (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",SCCS Final Opinion on the safety of Silver used in cosmetic products – CRITICAL CATALYST,https://criticalcatalyst.com/sccs-final-opinion-on-the-safety-of-silver-used-in-cosmetic-products/,criticalcatalyst.com,2023,,,19,19,"The European Risk Assessment Committee (RAC) of the European Chemicals Agency (ECHA) issued in February 2023 an opinion recommending among others a ‘Toxic for Reproduction Category 2’ classification for Silver. Following the RAC opinion, the European Commission may propose a classification ...","source non prioritaire mais acceptée (+1) : criticalcatalyst.com | keywords (+16) : cosmetic, echa, opinion, risk, safe, safety, sccs, toxic | récent (+2) : 2023 | html non récupéré (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",SCCS Preliminary Opinion on the safety of Silver used in cosmetic products – CRITICAL CATALYST,https://criticalcatalyst.com/sccs-preliminary-opinion-on-the-safety-of-silver-used-in-cosmetic-products/,criticalcatalyst.com,2023,,,19,19,"The European Risk Assessment Committee (RAC) of the European Chemicals Agency (ECHA) issued in February 2023 an opinion recommending among others a ‘Toxic for Reproduction Category 2’ classification for Silver. Following the RAC opinion, the European Commission may propose a classification ...","source non prioritaire mais acceptée (+1) : criticalcatalyst.com | keywords (+16) : cosmetic, echa, opinion, risk, safe, safety, sccs, toxic | récent (+2) : 2023 | html non récupéré (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",The dark side of beauty: an in-depth analysis of the health hazards and...,https://pmc.ncbi.nlm.nih.gov/articles/PMC11381309/,pmc.ncbi.nlm.nih.gov,,,,18,18,"Keywords:cosmetics,toxicity, mixtures,regulatorymeasures, risk assessment, health hazard.Theregulationensurescosmeticproducts’ safety. Thisregulationreplaces the old Directive 76/768/EC.","source non prioritaire mais acceptée (+1) : pmc.ncbi.nlm.nih.gov | keywords (+17) : cosmetic, hazard, regulation, regulatory, risk, safe, safety, toxic, toxicity | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" ban restriction cosmetic Europe",EU Updates Cosmetic Regulation: Further Strengthening of CMR Substance Controls - Regulatory News - Personal and Home Care Products - CIRS Group,https://www.cirs-group.com/en/cosmetics/eu-updates-cosmetic-regulation-further-strengthening-of-cmr-substance-controls,cirs-group.com,2026,,,18,18,"January 16, 2026 -Silver is currently listed in entry ... colorant (CI 77820), while itscolloidal nanoform (1-100 nm) is prohibited in cosmetic products and listed as entry 1727 in Annex II to that Regulation....","source non prioritaire mais acceptée (+1) : cirs-group.com | keywords (+14) : cmr, cosmetic, prohibit, prohibited, regulation, regulatory | très récent (+3) : 2026",False
