source_name,url,domain,title,type_source,date,year,ingredient,ingredient_found_in_text,type_signal,summary_excerpt,confidence_score
coslaw.eu,https://coslaw.eu/the-european-commission-is-restricting-the-use-of-new-cosmetic-ingredients-omnibus-act-2/,coslaw.eu,New ingredient restrictions in the EU - Omnibus Act 2,database,2025-07-16T14:33:44+00:00,2025,silver,True,safety_risk,"New conditions for the use of Silver Zinc Zeolite In 2017, Silver zinc zeolite was added to Annex II, which lists substances prohibited in cosmetic products, under entry 1597, due to its classification as a CMR substance (carcinogenic, mutagenic, or toxic for reproduction) under the CLP (Classification, Labelling and Packaging) Regulation .",35
shapypro.com,https://shapypro.com/eu-cosmetics-regulation-2025-updates/,shapypro.com,EU Cosmetics Regulation: Key Updates and Compliance 2025,news,2025-10-30T09:00:34+00:00,2025,silver,True,safety_risk,"EU Cosmetics Regulation: Annex II Banned Ingredients Key substances added to Annex II (prohibited ingredients) include: Silver Zinc Zeolite , except when authorized as a preservative (Annex V).",34
health.ec.europa.eu,https://health.ec.europa.eu/publications/sccs-opinion-safety-silver-casec-no-7440-22-4231-131-3-used-cosmetic-products_en,health.ec.europa.eu,SCCSOpinionon thesafetyofSilver(CAS/EC No....) - Public Health,official,2024-07-03T14:00:00+0200,2024,silver,True,safety_risk,"2, does the SCCS consider micron-sized particulate Silver safe when used up to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products?",34
entercogroup.com,https://www.entercogroup.com/post/a-compilation-of-cosmetic-regulations-uupdates-in-europe-and-the-united-states-in-2025,entercogroup.com,A Compilation ofCosmeticRegulations Uupdates inEuropeand the...,news,2026-03-11T16:00:00.000Z,2026,silver,True,safety_risk,"Furthermore, the European Commission has successively requested the SCCS to conduct further safety assessments on ingredients such as titanium dioxide, silicone substances, silver, and acetophenone, and has sought scientific opinions regarding the occupational exposure risks for hairdressing professionals to hazardous substances.",32
zmuni.com,https://www.zmuni.com/en/news/understandingtheeucosmeticsprohibitedsubstanceslistin2025/,zmuni.com,Understanding the EU Cosmetics Prohibited Substances List in,news,2025-08-20T03:05:59+00:00,2025,silver,True,safety_risk,"For example, on 14 March 2024, the European Commission adopted Regulation (EU) 2024/858 amending Regulation (EC) No 1223/2009, which added the following nanomaterials to the list of prohibited substances: styrene/acrylates copolymer (nano), sodium styrene/acrylates copolymer (nano), copper (nano), colloidal copper(nano), colloidal silver(nano), gol...",32
cosmeticobs.com,https://cosmeticobs.com/en/articles/regulation-57/silver-request-for-an-opinion-to-the-sccs-7709,cosmeticobs.com,Silver: request for an Opinion to the SCCS - Regulation,news,2023,2023,silver,True,safety_risk,"Nov 27, 2023 ·Following an opinion from theRiskAssessment Committee (RAC) of theEuropeanChemicalsAgency (ECHA) recommending thatsilverbe classified as “Toxic for Reproduction Category 2”, which could lead to a ban on its use incosmetics, the industry submitted a dossier in defence of the substance.",21
cosmeticobs.com,https://cosmeticobs.com/en/articles/regulation-57/silver-final-opinion-of-the-sccs-8212,cosmeticobs.com,Silver: final Opinion of the SCCS - Regulation,news,,,silver,True,safety_risk,"Following the RAC opinion, the European Commission may propose a classification forsilveras a ""Toxic for Reproduction Category 2"" (CLP Regulation Annex VI entry), which could lead to abanon its use incosmetics, unless positively assessed by the SCCS.",17
criticalcatalyst.com,https://criticalcatalyst.com/sccs-final-opinion-on-the-safety-of-silver-used-in-cosmetic-products/,criticalcatalyst.com,SCCS Final Opinion on the safety of Silver used in cosmetic ...,unknown,2024,2024,silver,True,other,"Jul 3, 2024 ·In October 2023, the Commission services received a dossier to defend the safe use of micron sized particulateSilveras a conditioning agent incosmeticproducts according to Article 15 of theCosmeticsRegulation1223/2009.",15
cosmeticobs.com,https://cosmeticobs.com/en/articles/sccs-44/silver-new-request-for-opinion-to-the-sccs-9023,cosmeticobs.com,Silver: new request forOpinionto theSCCS-SCCS,news,2025,2025,silver,True,other,"On 30 October 2025, during its plenary meeting, the Scientific Committee on ConsumerSafety(SCCS) approved theEuropeanCommission's mandate to evaluate thesafetyofSilverused incosmeticproducts.",14
cosmeticscare.eu,https://www.cosmeticscare.eu/en/new-regulations-for-silver-hexyl-salicylate-and-o-phenylphenol/,cosmeticscare.eu,"New regulations for silver, hexyl salicylate, and o-phenylphenol",unknown,2026,2026,silver,True,ban,"Jan 18, 2026 ·Currently,silveris listed in the entry 142 of Annex IV toRegulation(EC) No. 1223/2009 as an permitted colourant (CI 77820), while its colloidal nanoform (1–100 nm) is prohibited incosmeticproducts (entry 1727 in Annex II).",14
