Ingredient,CAS_EC,SCCS_Number,Date_Avis,Verdict,Concentration_Max,Lien_Source,Type_Rapport,Categorie
Silver (micron-sized particulate),7440-22-4 / 231-131-3,SCCS/1665/24,2024-06-20,Not Safe,Not safe at 0.2% rinse-off / 0.3% leave-on; safe only in eye shadow and oral products,https://health.ec.europa.eu/publications/sccs-opinion-safety-silver-casec-no-7440-22-4231-131-3-used-cosmetic-products_en,Final Opinion,Colorant
Methyl salicylate (children exposure - Revision),119-36-8,SCCS/1676/25,2025-04-30,Restriction Recommandée,"Max 0.4% in toothpaste, 0.02% in other products for children 0-3 years",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Fragrance
Acetylated Vetiver Oil (AVO) - Inhalation toxicity,84082-84-8 / 282-031-1,SCCS/1663/24,2024-10-25,Restriction Recommandée,Restrictions for sprayable products (inhalation route),https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Fragrance
Hexyl Salicylate (children 0-3 years addendum),6259-76-3 / 228-408-6,SCCS/1668/24,2024-10-25,Restriction Recommandée,Restrictions for children 0-3 years (see Table 6),https://health.ec.europa.eu/publications/sccs-addendum-scientific-opinion-hexyl-salicylate-sccs165823-casec-no-6259-76-3228-408-6-children_en,Final Opinion (Addendum),Fragrance
Citral (sensitisation),5392-40-5 / 226-394-6,SCCS/1666/24,2024-07-29,Restriction Recommandée,Sensitisation endpoint restrictions apply,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Fragrance
Hexyl Salicylate,6259-76-3 / 228-408-6,SCCS/1658/23,2024-02-28,Safe,Safe at max concentrations in Table 1 of Opinion,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Fragrance
Benzyl salicylate,118-58-1 / 204-262-9,SCCS/1656/23,2023-10-26,Restriction Recommandée,Restrictions on sensitisation endpoint,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Fragrance
Methyl salicylate (children exposure),119-36-8,SCCS/1654/23,2023-09-14,Restriction Recommandée,"Max 0.4% toothpaste, 0.02% other products for children 0-3 years",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Fragrance
Basic Brown 16 (C009),26381-41-9 / 247-640-9,SCCS/1684/25,2026-02-02,Données Insuffisantes,N/A - Submission V ter under review,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Hair Dye
Basic Blue 99 (C059),68123-13-7 / 268-544-3,SCCS/1683/25,2026-02-02,Données Insuffisantes,N/A - Submissions IV & V under review,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Hair Dye
HC Red No. 18 (B124),1444596-49-9,SCCS/1673/24,2025-01-22,Données Insuffisantes,N/A - Submission II,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Hair Dye
HC Yellow No. 16 (B123),1184721-10-5,SCCS/1670/24,2024-10-25,Données Insuffisantes,N/A - Submission II,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Hair Dye
Hydroxypropyl p-phenylenediamine (A165),73793-79-0 / 827-723-1,SCCS/1659/23,2024-02-28,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Hair Dye
HC Blue 18 (B122),N/A,SCCS/1653/23,2023-04-27,Données Insuffisantes,N/A - Submission II,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Hair Dye
